Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00832520,1,Phase II Study of Remeron for Cancer Patients Losing More Than 10% of Their Body Weight,Prevention,Single Group Assignment,Open Label,,Drug,Phase 2,Symptoms and General Pathology|All Conditions,OTHER,,Multiple,United States|United States,8-Nov,29-Jan-09,10-Jul,11-Jun,20-Jul-12,Low accrual rate.,,2,13,Actual,59,Anticipated,TRUE,,13,13,0,0.22,0,13,0,,2 - No Scientific Data
NCT00832624,1,The Effect of Sitagliptin in Type 2 Diabetes Mellitus With Inadequate Glycemic Control (MK0431-118),Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 4,Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|All Conditions,INDUSTRY,,,,8-Nov,28-Jan-09,9-Sep,9-Sep,6-Jul-10,Business Reasons,,8,10,Actual,20,Anticipated,TRUE,,10,10,0,0.5,0,0,0,,2 - No Scientific Data
NCT00832650,1,Multiple Dose Study To Investigate The Effects Of Fesoterodine And Solifenacin On Gastrointestinal Transit,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 1,,INDUSTRY,,Single,United States,9-Apr,28-Jan-09,9-Dec,9-Dec,2-Dec-10,"Protocol A0221057 was terminated on December 25, 2009 for futility. There were no safety concerns related to this decision.",,6,60,Actual,200,Anticipated,TRUE,,60,60,60,0.3,0,59,1,23171069,1 - Scientific Data
NCT00833053,1,Dose Optimization of Infliximab in Moderate to Severe Plaque Psoriasis (Study P05315),Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 3,Skin and Connective Tissue Diseases|All Conditions,INDUSTRY,,,,9-Oct,29-Jan-09,11-Apr,11-Apr,15-Mar-12,"In Amendment 1 of P05319 [NCT 00779675], the option to enroll into this study, was discontinued due to low numbers of participants with suboptimal response.",,4,39,Actual,200,Anticipated,TRUE,,39,39,36,0.2,1,37,0,,2 - No Scientific Data
NCT00833859,1,"Neoadjuvant Gemcitabine, Docetaxel, and Capecitabine in Combination With Stereotactic Radiosurgery",Treatment,Single Group Assignment,Open Label,,Drug|Radiation,Phase 2,Cancers and Other Neoplasms|Digestive System Diseases|Gland and Hormone Related Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,9-Mar,30-Jan-09,10-Mar,10-Mar,30-Mar-11,Abandoned - Lack of funding after only 2 patients enrolled,,1,2,Actual,24,Anticipated,TRUE,,2,2,0,0.08,0,2,0,,2 - No Scientific Data
NCT00835679,1,Cetuximab and/or Dasatinib in Treating Patients With Colorectal Cancer and Liver Metastases That Can Be Removed by Surgery,Treatment,Parallel Assignment,Open Label,Non-Randomized,Biological|Drug,,Cancers and Other Neoplasms|Symptoms and General Pathology|All Conditions|Digestive System Diseases|Rare Diseases,NIH,,Multiple,United States|United States|United States,9-Dec,3-Feb-09,11-Feb,11-Aug,12-Mar-12,slow accrual,,2,9,Actual,65,Anticipated,TRUE,,9,9,0,0.14,0,9,0,,2 - No Scientific Data
NCT00836498,1,A Study of the Safety and Immune Response to RotaTeqƒ?› Vaccine in the Elderly (V260-027),Prevention,Parallel Assignment,Double Blind,Randomized,Biological|Biological|Biological,Phase 1,,INDUSTRY,,,,9-Feb,3-Feb-09,10-Jan,10-Apr,12-Jan-11,Strategic business decision not to pursue indication due to lack of demonstrable medical need,,8,66,Actual,260,Anticipated,TRUE,,66,66,66,0.25,2,66,0,,2 - No Scientific Data
NCT00837759,1,Novel Therapy to Preserve Beta Cell Function in New Onset Type 1 Diabetes,Treatment,Single Group Assignment,Open Label,,Drug|Drug|Drug|Biological|Drug,Phase 2,Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|All Conditions|Immune System Diseases,NIH,,Single,United States,9-Feb,4-Feb-09,11-Mar,11-Mar,24-Mar-12,Changes to study personnel.,,4,7,Actual,164,,TRUE,,7,7,3,0.04,0,7,0,,2 - No Scientific Data
NCT00837824,0,Severe Renal Disease Study in Fabry Patients Treated With Fabrazyme,Treatment,Parallel Assignment,Open Label,Randomized,Biological|Biological,Phase 2,"Nervous System Diseases|Diseases and Abnormalities at or before Birth|Nutritional and Metabolic Diseases|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States,2-Dec,23-Oct-08,3-Aug,3-Aug,5-Dec-08,The trial was terminated early due to inadequate study design.,,4,20,Actual,20,Actual,TRUE,,20,20,1,1,5,,0,,2 - No Scientific Data
NCT00838682,0,Effect of High-dose Oral Rabeprazole on Recurrent Bleeding After the Endoscopic Treatment of Bleeding Peptic Ulcers,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 4,Digestive System Diseases|All Conditions|Symptoms and General Pathology,OTHER,,Multiple,"Korea, Republic of|Korea, Republic of",6-Apr,5-Feb-09,9-Jan,9-Mar,2-Aug-10,Terminated before the complete enrollment due to slow enrollment,,2,106,Actual,106,Actual,TRUE,,106,106,106,1,0,106,1,23049546,2 - No Scientific Data
NCT00839917,0,A Study of ProQuadƒ?› in Healthy Children in Korea (V221-023),Prevention,Parallel Assignment,Open Label,Randomized,Biological|Biological,Phase 3,Viral Diseases|All Conditions|Mouth and Tooth Diseases|Rare Diseases,INDUSTRY,,,,8-Feb,6-Feb-09,8-May,8-May,7-Sep-12,Study terminated early because of insufficient enrollment before expiration date of the investigational vaccine lot,,2,30,Actual,360,Anticipated,TRUE,,30,30,18,0.08,1,29,0,,2 - No Scientific Data
NCT00840450,1,Imatinib Mesylate (Gleevec) and Paclitaxel in Recurrent Patients of Ovarian and Other Cancers of Mullerian Origin,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Gland and Hormone Related Diseases|All Conditions|Rare Diseases",OTHER,,Single,United States,7-Apr,9-Feb-09,10-Apr,12-Oct,18-Aug-11,Due to slow accrual,,2,14,Actual,50,Anticipated,FALSE,E,12,14,12,0.28,3,12,0,,2 - No Scientific Data
NCT00842829,1,Study of Breakthrough Cancer Pain: Assessment of Fentanyl Buccal Tablets Titration and Treatment in Opioid-Tolerant Patients,,Parallel Assignment,Open Label,Randomized,Drug,Phase 4,Nervous System Diseases|Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Ireland|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Poland|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,9-Jan,29-Jan-09,11-May,11-May,17-Aug-12,Recruitment stopped at the end of the recruitment timeframe,,11,330,Actual,880,Anticipated,TRUE,,330,330,312,0.38,67,312,0,,2 - No Scientific Data
NCT00843050,1,A Phase II Study to Evaluate Efficacy and Safety of P276-00 in Relapsed and/or Refractory Mantle Cell Lymphoma,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|India|India|India|India|India|India|India,9-Nov,12-Feb-09,11-Feb,12-Aug,29-Feb-12,The study was terminated based on interim results and all subjects were off study at that time. No major safety or tolerability concerns,,6,13,Actual,35,Anticipated,TRUE,,13,13,0,0.37,2,13,0,,1 - Scientific Data
NCT00843986,1,Safety and Efficacy of Conivaptan in Hyponatremic Patients With Symptomatic Acute Decompensated Heart Failure (ADHF),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Heart and Blood Diseases|All Conditions|Nutritional and Metabolic Diseases,INDUSTRY,,Multiple,India|India|India|India,9-Apr,11-Feb-09,9-Aug,9-Aug,9-Sep-10,The clinical study has been terminated based on difficulties to enroll eligible subjects per protocol inclusion and exclusion criteria.,,2,9,Actual,105,Anticipated,TRUE,,9,9,0,0.09,2,9,0,,2 - No Scientific Data
NCT00845702,1,Renal Magnetic Resonance Angiography (MRA) Study Comparing Dotarem and Time Of Flight (TOF),Diagnostic,Single Group Assignment,Open Label,Non-Randomized,Drug|Other,Phase 3,"Symptoms and General Pathology|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Heart and Blood Diseases",INDUSTRY,,Single,United States,9-Apr,16-Feb-09,10-Feb,10-Feb,22-Sep-11,lack of recruitment.,,2,33,Actual,220,Anticipated,TRUE,,33,33,0,0.15,1,66,0,,2 - No Scientific Data
NCT00846391,1,A Study to Assess the Safety and Efficacy of MK8245 in Patients With Type 2 Diabetes Mellitus and Inadequate Glycemic Control (MK8245-005 AM2),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 2,Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases|All Conditions,INDUSTRY,,,,8-Dec,17-Feb-09,9-Aug,9-Aug,26-Aug-10,Study was terminated due to inability to recruit patients.,,2,14,Actual,60,Anticipated,TRUE,,14,14,8,0.23,0,14,0,,2 - No Scientific Data
NCT00846573,1,Hyperpolarized Noble Gas MR Imaging for Pulmonary Disorders,Diagnostic,Parallel Assignment,Open Label,Non-Randomized,Drug,,Digestive System Diseases|Respiratory Tract (Lung and Bronchial) Diseases|Diseases and Abnormalities at or before Birth|All Conditions|Immune System Diseases|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,8-Nov,16-Feb-09,11-Apr,11-Apr,21-Aug-12,The study was halted prematurely as the PI was no longer an employee of UMass Medical School.,,4,14,Actual,100,Anticipated,TRUE,,14,14,14,0.14,0,14,0,,2 - No Scientific Data
NCT00847002,1,Flexitouch Treatment for Venous Ulcers,Treatment,Parallel Assignment,Open Label,Randomized,Device|Device,Phase 4,Heart and Blood Diseases|Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Multiple,United States|United States,7-Sep,18-Feb-09,10-Aug,10-Aug,31-May-12,Lack of Enrollment,,2,8,Actual,16,Anticipated,TRUE,,8,8,0,0.5,0,8,0,,2 - No Scientific Data
NCT00848783,1,"Irinotecan/Cisplatin, Potentially Curative Surgery With or Without Floxuridine, Followed by Capecitabine for Stomach and Gastro-esophageal Junction (GEJ) Cancers",Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Procedure|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Digestive System Diseases|All Conditions|Rare Diseases,OTHER,,Multiple,United States|United States|United States,8-May,19-Feb-09,11-Aug,12-Sep,9-Nov-12,Due to slow accrual,,2,8,Actual,62,Anticipated,TRUE,,8,8,7,0.13,2,7,0,,2 - No Scientific Data
NCT00850499,1,Phase 2 Study of VELCADE With Fludarabine in Comparison to Rituximab With Fludarabine in Follicular Lymphoma Patients Previously Treated With Rituximab,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,INDUSTRY,,Multiple,France|France|France|France|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Greece|Greece|Israel|Israel|Israel|Israel|Israel|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Spain|Spain|Spain|Switzerland,9-Sep,24-Feb-09,11-Sep,11-Oct,3-Oct-12,,,9,12,Actual,110,Anticipated,TRUE,,12,12,12,0.11,4,12,0,,3 - No Reason Provided
NCT00852631,1,Seroquel XR in Adults With Schizophrenia,Treatment,Single Group Assignment,Open Label,,Drug,Phase 3,Behaviors and Mental Disorders|All Conditions,INDUSTRY,,Multiple,Thailand|Thailand|Thailand,9-Feb,26-Feb-09,10-May,10-May,18-May-11,The study was prematurely terminated due to insufficient recruitment.,,2,28,Actual,100,Anticipated,TRUE,,28,28,28,0.28,1,28,0,,2 - No Scientific Data
NCT00855062,1,Minocycline for HIV+ Cognitive Impairment in Uganda,Treatment,Single Group Assignment,Double Blind,Randomized,Drug|Drug,Phase 1|Phase 2,"Viral Diseases|Immune System Diseases|All Conditions|Nervous System Diseases|Behaviors and Mental Disorders|Symptoms and General Pathology|Bacterial and Fungal Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",OTHER,,Single,Uganda,8-Apr,2-Mar-09,9-Dec,9-Dec,17-Dec-10,The Neurologic AIDS Research Consortium Data Safety and Monitoring Board committee recommended to terminate the study early due to futility on 11/6/2009.,,6,73,Actual,100,Anticipated,TRUE,,73,73,59,0.73,3,73,1,23269596,1 - Scientific Data
NCT00855842,1,Pilot Study of the Addition of Osmotic Dilators to Preparation Prior to Labor Induction Abortion,Treatment,Single Group Assignment,Open Label,Non-Randomized,Device,,,OTHER,,Single,United States,9-Mar,2-Mar-09,10-Jan,10-Jan,4-Apr-11,inadequate enrollment,,2,4,Actual,20,Anticipated,TRUE,,4,4,4,0.2,0,4,0,,2 - No Scientific Data
NCT00857233,1,Safety and Tolerability of Memantine in Moderate to Severe Alzheimer's Disease,Treatment,Single Group Assignment,Open Label,,Drug,Phase 3,Nervous System Diseases|Behaviors and Mental Disorders|All Conditions|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Multiple,Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada,4-Jun,5-Mar-09,10-Jul,10-Oct,26-Jul-12,Please see explanation in the Detailed Description field.,In agreement with Health Canada the study was prematurely terminated due to recruitment difficulties in the lead-in Study 10158. Patients ongoing in the study when the decision to terminate was taken were allowed to complete it.,7,297,Actual,450,Anticipated,TRUE,,297,297,297,0.66,27,297,0,,2 - No Scientific Data
NCT00857259,1,The Efficacy of Oral Everolimus in Patients With Neovascular Age-related Macular Degeneration,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Eye Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,9-Feb,4-Mar-09,10-Jul,,22-Jul-11,,,9,16,Actual,63,Anticipated,TRUE,,16,16,13,0.25,0,15,0,,3 - No Reason Provided
NCT00857649,1,Efficacy and Safety of Memantine in Moderate to Severe Alzheimer's Disease,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Nervous System Diseases|Behaviors and Mental Disorders|All Conditions|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Multiple,Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada,3-Dec,5-Mar-09,10-Apr,10-Sep,26-Oct-11,,,9,369,Actual,450,Anticipated,TRUE,,369,369,324,0.82,29,369,1,23472619,3 - No Reason Provided
NCT00857818,1,Trial Comparing the Effects of Aripiprazole With Those of Standard of Care on Non-HDL Cholesterol in Patients With Schizophrenia or Bipolar I Disorder Who Have Metabolic Syndrome,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 3,Nutritional and Metabolic Diseases|All Conditions|Symptoms and General Pathology|Behaviors and Mental Disorders|Rare Diseases,INDUSTRY,,Multiple,Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada,9-Apr,6-Mar-09,10-Mar,10-Mar,17-May-11,Slow Accrual,,2,64,Actual,200,Anticipated,FALSE,F,28,28,25,0.14,2,26,0,,2 - No Scientific Data
NCT00858403,1,Dasatinib in Advanced Non-small Cell Lung Cancer (NSCL) With Ex Vivo and In Vivo Assessment of Tumor Target Modulation,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Respiratory Tract (Lung and Bronchial) Diseases|All Conditions,OTHER,,Single,United States,9-Mar,5-Mar-09,10-Jul,10-Jul,12-Jul-11,Slow Accrual,,2,7,Actual,40,Anticipated,TRUE,,7,7,0,0.18,3,7,0,,2 - No Scientific Data
NCT00859573,1,Modafinil for Methamphetamine Dependence,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,,OTHER,,Single,United States,9-Apr,10-Mar-09,10-Jan,10-Jan,15-Apr-11,Terminated due to lack of funding.,,1,9,Actual,50,Anticipated,TRUE,,9,9,5,0.18,0,9,0,,2 - No Scientific Data
NCT00860249,1,Outreach for Patients That Are Newly Eligible for Colorectal Cancer Screening,Health Services Research,Parallel Assignment,Single Blind,Randomized,Behavioral|Behavioral,,Cancers and Other Neoplasms|Digestive System Diseases|All Conditions,OTHER,,Single,United States,9-Mar,11-Mar-09,9-Dec,9-Dec,2-Sep-11,Lack of sufficient participants meeting the eligibility criteria to complete study in proposed and acceptable time frame.,,2,60,Actual,420,Anticipated,TRUE,,60,60,0,0.14,0,60,0,,2 - No Scientific Data
NCT00860314,0,Antero-Posterior Versus Antero-Lateral Electrode Position for Electrical Cardioversion of Typical Atrial Flutter,Treatment,Parallel Assignment,Open Label,Randomized,Procedure|Procedure,,Heart and Blood Diseases|Symptoms and General Pathology|All Conditions,OTHER,,Single,Germany,5-Jan,10-Nov-08,5-Dec,5-Dec,10-Nov-08,Statistical interim analysis showed valid and significant results,,6,96,Actual,96,Actual,TRUE,,96,96,96,1,,,1,19932790,1 - Scientific Data
NCT00860535,1,Growth Factor Signature (GFS) Pilot Study (MK0000-098)(COMPLETED),Diagnostic,Single Group Assignment,Open Label,Non-Randomized,Other,Phase 1,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Immune System Diseases|Symptoms and General Pathology|Diseases and Abnormalities at or before Birth|Rare Diseases,INDUSTRY,,,,9-Jun,5-Mar-09,10-Apr,10-Jun,28-Jun-11,,,9,9,Actual,50,Anticipated,TRUE,,9,9,9,0.18,0,9,0,,3 - No Reason Provided
